Date,Category,Amount,Description
03-01-2025,Food,10000,Grocery shopping
05-01-2025,Rent,12500,Monthly house rent
10-01-2025,Transport,1800,Bus pass
12-01-2025,Utilities,1800,Current Bill
15-01-2025,Recharge,1299,Mobile recharge
25-01-2025,Healthcare,13899,"Hospital bills, Medicines"
01-02-2025,Food,6000,"Vegetables, Snacks"
05-02-2025,Rent,12500,Monthly house rent
10-02-2025,Recharge,1299,Mobile recharge
14-02-2025,Utilities,1300,Electricity bill
22-02-2025,Entertainment,3100,"Movie tickets, Snacks"
01-03-2025,Rent,12500,Monthly house rent
05-03-2025,Recharge,1299,Mobile recharge
10-03-2025,Food,7120,Weekly groceries
15-03-2025,Others,12680,"Gifts, Furniture"
31-03-2025,Shopping,10000,Festival Expenses
02-04-2025,Recharge,2299,Mobile recharge
05-04-2025,Rent,12500,Monthly house rent
08-04-2025,Entertainment,1500,Movie
12-04-2025,Food,12980,Eating out(Party with Friends)
25-04-2025,Utilities,6490,Water & electricity
30-04-2025,Others,3900,"Haircut, Beauty Products"
01-05-2025,Recharge,1299,Mobile recharge
05-05-2025,Rent,12500,Monthly house rent
07-05-2025,Transport,4410,Cab to station
09-05-2025,Shopping,10000,shopping
12-05-2025,Entertainment,9000,Party
15-05-2025,Tour,15200,Family Vacation
17-05-2025,Food,10000,Groceries
04-06-2025,Recharge,2299,Mobile recharge
05-06-2025,Rent,12500,Monthly house rent
10-06-2025,Utilities,2500,Dinner with family
20-06-2025,Others,10820,"House items, Donations"
21-06-2025,Tour,11000,Vacation
27-06-2025,Utilities,5200,"TV, Washing Machine Repairs"
05-07-2025,Rent,12500,Monthly house rent
10-07-2025,Recharge,3299,"Mobile recharge, Subscriptions"
15-07-2025,Shopping,10500,"Clothes, Smart Gadgets & Shoes"
20-07-2025,Food,3500,Ordered from Swiggy
24-07-2025,Healthcare,6500,"Eye CheckUp, Specs"
31-07-2025,Transport,5000,Travel
